Fecha,Cliente,Asunto,Abogado,Horas,Tarifa_hora,Total
2024-01-08,Importaciones Delgado S.A.,Consulta urgente retención aduanera,Ana Castillo,2,150,300
2024-01-09,Importaciones Delgado S.A.,Redacción solicitud levante con garantía,Ana Castillo,3,150,450
2024-01-10,Importaciones Delgado S.A.,Redacción recurso alzada clasificación arancelaria,Ana Castillo,4,150,600
2024-01-10,Importaciones Delgado S.A.,Revisión documental DUA e IAV,Marcos Reyes,2,120,240
2024-01-15,Grupo Navarro S.L.,Subsanación requerimiento Registro Mercantil,Ana Castillo,3,150,450
2024-01-22,Grupo Navarro S.L.,Gestión oposición embargo preventivo,Ana Castillo,4,150,600
2024-01-25,Grupo Navarro S.L.,Gestión oposición embargo preventivo (cont.),Ana Castillo,4,150,600
2024-01-28,Grupo Navarro S.L.,Negociación con Distribuciones Martínez,Ana Castillo,4,150,600
2024-02-05,Grupo Navarro S.L.,Reunión bancaria y préstamo puente,Ana Castillo,3,150,450
2024-02-08,Grupo Navarro S.L.,Coordinación registro y cierre expediente,Ana Castillo,3,150,450
2024-02-10,Grupo Navarro S.L.,Coordinación registro y cierre expediente (cont.),Ana Castillo,2,150,300
2024-02-12,Grupo Navarro S.L.,Gestiones varias ampliación capital,Marcos Reyes,5,120,600
2024-02-14,Grupo Navarro S.L.,Gestiones varias ampliación capital (cont.),Marcos Reyes,4,120,480
2024-02-15,Cooperativa AgriVerde,Reunión y revisión documentación subvención,Ana Castillo,3,150,450
2024-02-19,Cooperativa AgriVerde,Redacción contratos arrendamiento rústico,Ana Castillo,4,150,600
2024-02-22,Cooperativa AgriVerde,Gestión regularización SIGPAC,Ana Castillo,3,150,450
2024-02-26,Cooperativa AgriVerde,Gestión regularización SIGPAC (cont.),Ana Castillo,2,150,300
2024-03-01,Cooperativa AgriVerde,Asesoramiento solicitud PAC 2024,Ana Castillo,3,150,450
2024-03-04,Restaurantes Sol de Cádiz S.L.,Revisión contrato arrendamiento local,Ana Castillo,4,150,600
